Ash Lumber,165
Cedar Lumber,12
Clear Glass Lens,96
Clinker Bricks,165
Cobalt Ingot,45
Cobalt Joint Plate,330
Cobalt Nails,240
Cobalt Rivets,18
Cut Stone,426
Dark Chestnut Lumber,27
Dhalmel Leather,18
Elm Lumber,330
Felt Lining,165
Firebricks,165
Granite,165
Horn Glue,150
Humus,18
Iron Nails,330
Island Seedling,18
Jadeite,18
Linen Canvas,93
Mortar,189
Mudstone,165
Mythrite Ingot,48
Oak Lumber,165
Ramie Cloth,12
Rose Gold Ingot,21
Rosewood Log,165
Spruce Log,165
Steel Hinge,36
Steel Nails,330
Titanium Nugget,36
Varnish,75
Walnut Lumber,405
Yew Lumber,330
