Ash Lumber,165
Brass Ingot,24
Cedar Lumber,33
Clear Glass Lens,102
Clinker Bricks,165
Cobalt Ingot,12
Cobalt Joint Plate,330
Cobalt Nails,240
Cobalt Rivets,24
Cut Stone,444
Dark Chestnut Lumber,6
Electrum Ingot,45
Elm Lumber,330
Felt Lining,165
Firebricks,165
Granite,165
Holy Cedar Lumber,6
Horn Glue,150
Iron Nails,330
Linen Canvas,93
Linen Yarn,21
Marble,165
Mortar,165
Mudstone,165
Mythrite Ingot,51
Oak Lumber,165
Rose Gold Ingot,12
Rosewood Log,195
Spruce Log,165
Steel Hinge,30
Steel Ingot,63
Steel Nails,330
Varnish,75
Walnut Lumber,405
Yew Lumber,330
