Ash Lumber,165
Clear Glass Lens,117
Clinker Bricks,165
Cobalt Joint Plate,330
Cobalt Nails,240
Cotton Canvas,12
Cut Stone,444
Electrum Ingot,75
Elm Lumber,348
Felt Lining,165
Firebricks,165
Granite,165
Horn Glue,150
Iron Ingot,87
Iron Nails,330
Linen Canvas,93
Linen Yarn,21
Mahogany Lumber,39
Marble,165
Mortar,165
Mudstone,165
Oak Lumber,165
Rose Gold Ingot,24
Rosewood Log,165
Spruce Log,165
Spruce Lumber,24
Steel Hinge,36
Steel Ingot,114
Steel Nails,330
Steel Rivets,12
Toad Leather,24
Varnish,75
Walnut Lumber,405
Yew Lumber,330
