Ash Lumber,165
Cedar Lumber,12
Clear Glass Lens,123
Clinker Bricks,165
Cobalt Ingot,45
Cobalt Joint Plate,330
Cobalt Nails,240
Cobalt Rivets,18
Cotton Canvas,18
Cut Stone,426
Darksteel Plate,27
Electrum Ingot,30
Elm Lumber,330
Felt Lining,165
Firebricks,165
Granite,165
Holy Cedar Lumber,18
Horn Glue,150
Humus,18
Iron Nails,330
Island Seedling,18
Limestone,45
Linen Canvas,75
Marble,165
Mortar,165
Mudstone,165
Mythrite Ingot,45
Oak Lumber,165
Rose Gold Ingot,21
Rosewood Log,195
Spruce Log,165
Steel Hinge,36
Steel Nails,330
Titanium Nugget,18
Varnish,75
Walnut Lumber,405
Yew Lumber,330
