Ash Lumber,90
Cedar Lumber,12
Clear Glass Lens,72
Clinker Bricks,90
Cobalt Ingot,45
Cobalt Joint Plate,180
Cobalt Nails,135
Cobalt Rivets,18
Cut Stone,276
Dark Chestnut Lumber,27
Dhalmel Leather,18
Elm Lumber,180
Felt Lining,90
Firebricks,90
Granite,90
Horn Glue,90
Humus,18
Iron Nails,180
Island Seedling,18
Jadeite,18
Linen Canvas,63
Mortar,114
Mudstone,90
Mythrite Ingot,48
Oak Lumber,90
Ramie Cloth,12
Rose Gold Ingot,21
Rosewood Log,120
Spruce Log,90
Steel Hinge,36
Steel Nails,180
Titanium Nugget,36
Varnish,45
Walnut Lumber,225
Yew Lumber,180
