Ash Lumber,90
Clear Glass Lens,93
Clinker Bricks,90
Cobalt Joint Plate,180
Cobalt Nails,135
Cotton Canvas,12
Cut Stone,294
Electrum Ingot,75
Elm Lumber,198
Felt Lining,30
Firebricks,90
Granite,90
Horn Glue,90
Iron Ingot,96
Iron Nails,180
Linen Canvas,63
Linen Yarn,21
Mahogany Lumber,39
Marble,90
Mortar,90
Mudstone,90
Oak Lumber,90
Rose Gold Ingot,24
Rosewood Log,120
Spruce Log,90
Spruce Lumber,24
Steel Hinge,36
Steel Ingot,111
Steel Nails,180
Steel Rivets,12
Toad Leather,12
Varnish,45
Walnut Lumber,225
Yew Lumber,180
