Ash Lumber,90
Cedar Lumber,12
Clear Glass Lens,102
Clinker Bricks,90
Cobalt Ingot,45
Cobalt Joint Plate,180
Cobalt Nails,135
Cobalt Rivets,18
Cotton Canvas,18
Cut Stone,276
Darksteel Plate,27
Electrum Ingot,30
Elm Lumber,180
Felt Lining,90
Firebricks,90
Granite,90
Holy Cedar Lumber,18
Horn Glue,90
Humus,18
Iron Nails,180
Island Seedling,18
Limestone,45
Linen Canvas,45
Marble,90
Mortar,90
Mudstone,90
Mythrite Ingot,45
Oak Lumber,90
Rose Gold Ingot,21
Rosewood Log,120
Spruce Log,90
Steel Hinge,36
Steel Nails,180
Titanium Nugget,18
Varnish,45
Walnut Lumber,225
Yew Lumber,180
