Ash Lumber,30
Cedar Lumber,12
Clear Glass Lens,39
Clinker Bricks,30
Cobalt Ingot,45
Cobalt Joint Plate,60
Cobalt Nails,48
Cobalt Rivets,18
Cut Stone,156
Dark Chestnut Lumber,27
Dhalmel Leather,12
Elm Lumber,60
Felt Lining,30
Firebricks,30
Granite,30
Horn Glue,36
Humus,18
Iron Nails,60
Island Seedling,18
Jadeite,18
Linen Canvas,36
Marble,30
Mortar,54
Mudstone,30
Mythrite Ingot,48
Oak Lumber,30
Ramie Cloth,12
Rose Gold Ingot,21
Rosewood Log,30
Spruce Log,30
Steel Hinge,36
Steel Nails,60
Titanium Nugget,36
Varnish,18
Walnut Lumber,78
Yew Lumber,60
