Ash Lumber,30
Clear Glass Lens,78
Clinker Bricks,30
Cobalt Joint Plate,60
Cobalt Nails,48
Cotton Canvas,12
Cut Stone,174
Electrum Ingot,75
Elm Lumber,78
Felt Lining,30
Firebricks,30
Granite,30
Horn Glue,36
Iron Ingot,87
Iron Nails,60
Linen Canvas,36
Linen Yarn,21
Mahogany Lumber,39
Marble,30
Mortar,30
Mudstone,30
Oak Lumber,30
Rose Gold Ingot,24
Rosewood Log,45
Spruce Log,30
Spruce Lumber,24
Steel Hinge,36
Steel Ingot,111
Steel Nails,60
Steel Rivets,12
Toad Leather,12
Varnish,18
Walnut Lumber,78
Yew Lumber,60
