Ash Lumber,30
Cedar Lumber,12
Clear Glass Lens,87
Clinker Bricks,30
Cobalt Ingot,45
Cobalt Joint Plate,60
Cobalt Nails,48
Cobalt Rivets,18
Cotton Canvas,18
Cut Stone,156
Darksteel Plate,27
Electrum Ingot,30
Elm Lumber,60
Felt Lining,30
Firebricks,30
Granite,30
Holy Cedar Lumber,18
Horn Glue,36
Humus,18
Iron Nails,60
Island Seedling,18
Limestone,45
Linen Canvas,18
Marble,30
Mortar,30
Mudstone,30
Mythrite Ingot,45
Oak Lumber,30
Rose Gold Ingot,21
Rosewood Log,45
Spruce Log,30
Steel Hinge,36
Steel Nails,60
Titanium Nugget,18
Varnish,18
Walnut Lumber,138
Yew Lumber,60
